,sim_type,RHOS,NUM_STATIONS,NUM_PACKETS,BITRATE,PKTSIZE,delay,qsize,ssize,busy,fingerprint
231,fix,0.2,5,5000,2000,500,1.963483765,0.174876672,0.373558365,0.199349627,7020.448359
232,fix,0.2,5,5000,2000,1000,3.834826421,0.17284622,0.375171246,0.202455304,626.1630558
233,fix,0.2,5,5000,2000,2000,7.548724098,0.168588447,0.365814511,0.197939785,6027.485874
234,fix,0.2,5,10000,1000,500,4.044408277,0.182912027,0.38427953,0.201369705,7450.394267
235,fix,0.2,5,10000,1000,1000,7.796823849,0.175792895,0.374490949,0.198828362,7326.768718
236,fix,0.2,5,10000,1000,2000,15.59997984,0.172028839,0.370922985,0.199033907,2435.711602
237,fix,0.2,5,10000,1500,500,2.631009161,0.178961143,0.37957349,0.200822357,3222.077215
238,fix,0.2,5,10000,1500,1000,5.091926842,0.167387656,0.361908469,0.194716942,1120.319501
239,fix,0.2,5,10000,1500,2000,10.5610174,0.181257072,0.381334182,0.200248003,9735.370475
240,fix,0.2,5,10000,2000,500,1.94277659,0.174188782,0.37205724,0.198124104,7841.308642
241,fix,0.2,5,10000,2000,1000,3.811539976,0.165638209,0.359042525,0.193710908,9545.678421
242,fix,0.2,5,10000,2000,2000,7.654872851,0.166021032,0.361990405,0.196054259,281.1094821
243,fix,0.2,5,20000,1000,500,3.946728127,0.17803936,0.381137322,0.203143387,7392.895391
244,fix,0.2,5,20000,1000,1000,7.750096654,0.175238093,0.375502005,0.200266076,1506.689006
245,fix,0.2,5,20000,1000,2000,15.42508819,0.173449125,0.372586211,0.199262078,3185.28256
246,fix,0.2,5,20000,1500,500,2.621923565,0.178964457,0.380364292,0.201445126,3543.369322
247,fix,0.2,5,20000,1500,1000,5.214068315,0.178522145,0.380104423,0.201702798,2585.268904
248,fix,0.2,5,20000,1500,2000,10.30115678,0.171397686,0.37292203,0.201602513,107.2823592
249,fix,0.2,5,20000,2000,500,1.957023406,0.174935779,0.375283544,0.200352537,814.1502828
250,fix,0.2,5,20000,2000,1000,3.940274819,0.178501853,0.380424825,0.201951904,4035.164835
251,fix,0.2,5,20000,2000,2000,7.823862247,0.177687392,0.380556244,0.20292877,3149.028486
252,fix,0.2,8,2000,1000,500,6.935883127,0.243325754,0.445075344,0.202489923,1097.697891
253,fix,0.2,8,2000,1000,1000,14.8923856,0.276475208,0.48161812,0.205160885,2319.020963
254,fix,0.2,8,2000,1000,2000,27.123643,0.220063224,0.41248394,0.192563884,518.3585418
255,fix,0.2,8,2000,1500,500,4.696880241,0.248092546,0.448661933,0.201383879,5415.596875
256,fix,0.2,8,2000,1500,1000,9.150154731,0.235364111,0.427247204,0.19242111,2422.9713
257,fix,0.2,8,2000,1500,2000,18.73616826,0.24155552,0.446480711,0.205083156,1635.759581
258,fix,0.2,8,2000,2000,500,3.713962045,0.271314007,0.477970585,0.206674817,7115.109651
259,fix,0.2,8,2000,2000,1000,6.978771739,0.246551271,0.448738505,0.203908591,7671.868123
